time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
161,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,-0.06434000305598601,0.03217000152799301,false,false,0.0,0.0,0.0
206,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.09651000083889813,0.0,false,false,0.0,0.0,0.0
220,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.99951305,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,-0.22519000695087016,0.0,false,false,0.0,0.0,0.0
237,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.03217000152799301,0.03217000152799301,false,false,0.0,0.0,0.0
254,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.06434000305598601,0.0,false,false,0.0,0.0,0.0
268,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
279,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.99951305,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
293,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.938477899999999,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.0,-0.09651000083889813,false,false,0.0,0.0,0.0
321,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.03217000152799301,0.0,false,false,0.0,0.0,0.0
348,5046,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.0605482,0.0,0.0,0.0,0.0,1.5191740775577873,0.0,3.598833592026425,12.200000000000001,0.0,0.125,PercentOutput,1,0.0,0.3093288655109307,0.0,-3.7327222054565294,12.25,0.0,0.0,PercentOutput,1,-107.62999725341797,-107.62999725341797,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
