time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
174,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,0.0,-0.12868000611197203,false,false,0.0,0.0,0.0
226,5074,false,false,1,-2.21104726929966E-5,-2.21104726929966E-5,true,0.0,-2.21104726929966E-5,0.0,0.0,-11.755372449999998,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,-0.06434000305598601,-0.03217000152799301,false,false,0.0,0.0,0.0
246,5074,false,false,1,-2.21104726929966E-5,-2.21104726929966E-5,true,0.0,-2.21104726929966E-5,0.0,0.0,-11.755372449999998,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,-0.03217000152799301,0.0,false,false,0.0,0.0,0.0
272,5074,false,false,1,-2.21104726929966E-5,-2.21104726929966E-5,true,0.0,-2.21104726929966E-5,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
300,5074,false,false,1,-2.21104726929966E-5,-2.21104726929966E-5,true,0.0,-2.21104726929966E-5,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,-0.09651000083889813,0.03217000152799301,false,false,0.0,0.0,0.0
318,5074,false,false,1,-2.21104726929966E-5,-2.21104726929966E-5,true,0.0,-2.21104726929966E-5,0.0,0.0,-11.755372449999998,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,0.0,-0.09651000083889813,false,false,0.0,0.0,0.0
362,5211,false,false,1,-1.362731428022836E-4,-1.362731428022836E-4,true,0.0,-1.362731428022836E-4,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,-0.06434000305598601,0.0,false,false,0.0,0.0,0.0
380,5227,false,false,1,-1.7501028843008588E-4,-1.7501028843008588E-4,true,0.0,-1.7501028843008588E-4,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,-0.03217000152799301,0.06434000305598601,false,false,0.0,0.0,0.0
404,5256,false,false,1,-1.8689510914960894E-4,-1.8689510914960894E-4,true,0.0,-1.8689510914960894E-4,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
420,5266,false,false,1,-1.8700054870031933E-4,-1.8700054870031933E-4,true,0.0,-1.8700054870031933E-4,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
470,5318,false,false,1,-1.8703050171987303E-4,-1.8703050171987303E-4,true,0.0,-1.8703050171987303E-4,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-0.27262491803612626,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,585.5950921474819,0.0,0.0,12.450000000000001,0.0,0.125,PercentOutput,1,1.32000732421875,1.309999942779541,-0.0,-0.09651000083889813,0.03217000152799301,false,false,0.0,0.0,0.0
