time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
169,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
215,5065,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,0.03217000152799301,0.0,false,false,0.0,0.0,0.0
234,5065,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
253,5065,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,0.06434000305598601,0.03217000152799301,false,false,0.0,0.0,0.0
265,5065,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.709991455078125,1.7000000476837158,0.009999990463256836,-0.09651000083889813,0.0,false,false,0.0,0.0,0.0
305,5065,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.755372449999998,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.009999990463256836,0.03217000152799301,-0.03217000152799301,false,false,0.0,0.0,0.0
334,5065,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,0.06434000305598601,0.0,false,false,0.0,0.0,0.0
347,5200,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.009999990463256836,0.0,0.0,false,false,0.0,0.0,0.0
363,5214,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,-0.03217000152799301,-0.06434000305598601,false,false,0.0,0.0,0.0
386,5239,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,-25.712153997066796,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,743.9904003689081,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.70001220703125,1.690000057220459,-0.0,0.0,-0.06434000305598601,false,false,0.0,0.0,0.0
