time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
180,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.6400146484375,1.6299999952316284,-0.0,0.03217000152799301,0.0,false,false,0.0,0.0,0.0
228,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.6400146484375,1.6299999952316284,-0.0,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
253,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.6400146484375,1.6299999952316284,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
269,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.6400146484375,1.6299999952316284,-0.0,0.09651000083889813,-0.03217000152799301,false,false,0.0,0.0,0.0
312,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.572267,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.6400146484375,1.6299999952316284,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
330,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.649993896484375,1.6399999856948853,0.009999990463256836,-0.03217000152799301,0.0,false,false,0.0,0.0,0.0
358,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.6400146484375,1.6299999952316284,-0.009999990463256836,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
377,5075,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.649993896484375,1.6399999856948853,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
405,5251,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.649993896484375,1.6399999856948853,-0.0,0.03217000152799301,0.03217000152799301,false,false,0.0,0.0,0.0
428,5276,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,31.978141105595675,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,726.5673365977866,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.649993896484375,1.6399999856948853,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
