time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
170,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.03217000152799301,0.0,false,false,0.0,0.0,0.0
215,4994,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.3900146484375,1.3799999952316284,-0.009999990463256836,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
250,4994,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,0.009999990463256836,0.03217000152799301,0.0,false,false,0.0,0.0,0.0
280,4994,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
323,5106,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,-0.06434000305598601,false,false,0.0,0.0,0.0
341,5125,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,-0.06434000305598601,false,false,0.0,0.0,0.0
360,5134,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,-0.09651000083889813,0.03217000152799301,false,false,0.0,0.0,0.0
380,5154,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
401,5174,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
418,5194,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
424,5194,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
442,5214,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.06434000305598601,-0.03217000152799301,false,false,0.0,0.0,0.0
456,5234,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
468,5234,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,-0.06434000305598601,0.06434000305598601,false,false,0.0,0.0,0.0
483,5255,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.755372449999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,0.0,591.6805604703171,0.0,0.0,12.4,0.0,0.125,PercentOutput,1,1.399993896484375,1.3899999856948853,-0.0,0.0,-0.03217000152799301,false,false,0.0,0.0,0.0
