time,Clock.time,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.rot,OI.fwd,Stick_1_Axis_4.value,Stick_1_Axis_1.value,pneumatics.pressure,PoseEstimator.effective_wheelbase,PoseEstimator.x_displacement,PoseEstimator.y_displacement,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output
172,0,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,-0.03217000152799301,0.06434000305598601,false,false,0.0,0.0,0.0
215,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.0,0.03217000152799301,false,false,0.0,0.0,0.0
230,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.694337299999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.03217000152799301,-0.06434000305598601,false,false,0.0,0.0,0.0
246,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.03217000152799301,0.03217000152799301,false,false,0.0,0.0,0.0
260,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,-0.03217000152799301,0.0,false,false,0.0,0.0,0.0
271,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.0,0.0,false,false,0.0,0.0,0.0
284,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.03217000152799301,0.03217000152799301,false,false,0.0,0.0,0.0
305,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.0,-0.12868000611197203,false,false,0.0,0.0,0.0
319,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.633302149999999,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.03217000152799301,0.0,false,false,0.0,0.0,0.0
330,5076,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-11.51123185,0.0,0.0,0.0,0.0,65.96599646726462,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,0.0,836.8467706314244,0.0,0.0,12.35,0.0,0.125,PercentOutput,1,2.04998779296875,2.0399999618530273,-0.0,0.0,0.06434000305598601,false,false,0.0,0.0,0.0
